*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
!              |---------------------------------- Cumulative ---------------------------------|---------------------------------- Daily --------------------------------------|
!               N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                           Nitrification (g[N]/ha) by soil depth (cm):                             N2O flux (g[N]/ha) by soil depth (cm):                                  N2 flux (g[N]/ha) by soil depth (cm):                                   NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS   N2OEC    N2EC    NOEC   CO2TC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC   N2OED    N2ED    NOED   CO2TD    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   
 2015 113    11    0.00    0.01    0.00      62    2.81    13.5   0.029   0.014   2.778   0.010     0.2     5.7     0.0    5873   319.9    1328    3.16    1.33  316.71    0.84    50.4    33.8    43.1    44.4    46.9    36.6    23.9    20.6    20.1    867.     82.     64.     52.     50.     54.     58.     54.     46.     1.4     0.4     0.5     0.5     0.5     0.4     0.3     0.3     0.3    49.9    33.5    42.6    44.0    46.5    36.3    23.7    20.4    19.9     0.3     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
 2015 114    12    0.00    0.01    0.00      68    3.42    14.3   0.034   0.014   3.381   0.011     0.0     0.7     0.0    5515   608.6     765    5.29    0.77  603.29    0.92    87.0    65.2    71.6    73.5    77.4    78.9    79.5    51.0    24.5    454.     52.     42.     35.     34.     33.     31.     40.     44.     1.2     0.6     0.7     0.7     0.7     0.7     0.7     0.5     0.3    86.3    64.6    70.9    72.8    76.8    78.3    78.8    50.5    24.2     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
 2015 115    13    0.00    0.02    0.00      74    3.95    15.3   0.039   0.015   3.909   0.012     0.1     4.2     0.0    5712   532.8     998    4.80    1.00  528.01    0.93    62.1    57.4    58.1    66.2    69.1    70.2    70.6    51.5    27.6    655.     58.     51.     39.     38.     37.     35.     40.     43.     1.3     0.6     0.6     0.6     0.6     0.6     0.7     0.5     0.3    61.5    56.9    57.6    65.6    68.5    69.6    70.0    51.0    27.4     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
 2015 116    14    0.00    0.03    0.00      79    4.25    16.6   0.042   0.017   4.208   0.013     0.3    11.9     0.1    5897   302.0    1296    3.00    1.30  298.99    0.84    38.4    29.6    32.8    38.3    40.1    40.8    41.1    28.5    12.5    818.     84.     72.     57.     56.     54.     52.     52.     51.     1.3     0.4     0.4     0.4     0.4     0.4     0.4     0.3     0.2    38.0    29.3    32.4    37.9    39.7    40.4    40.7    28.2    12.4     0.3     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0
 2015 117    15    0.00    0.03    0.00      85    4.59    17.5   0.046   0.017   4.548   0.013     0.0     1.4     0.0    5778   343.0     894    3.28    0.89  339.69    0.74   104.5    42.0    27.5    31.9    33.1    33.5    33.7    25.2    11.7    414.     71.     75.     60.     59.     57.     55.     53.     51.     1.3     0.5     0.4     0.4     0.4     0.4     0.4     0.3     0.2   103.5    41.6    27.2    31.5    32.8    33.2    33.3    24.9    11.6     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0
 2015 118    16    0.00    0.04    0.00      91    4.86    18.6   0.048   0.019   4.812   0.014     0.2     7.9     0.0    5859   266.5    1106    2.69    1.11  263.81    0.74    67.5    38.0    23.1    26.3    26.9    26.9    26.9    21.0    10.0    602.     74.     77.     63.     63.     61.     59.     56.     52.     1.3     0.4     0.3     0.3     0.3     0.3     0.3     0.3     0.2    66.8    37.6    22.9    26.0    26.6    26.6    26.6    20.8     9.9     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0
 2015 119    17    0.00    0.04    0.00      97    5.52    20.3   0.054   0.020   5.464   0.015     0.0     0.5     0.0    5442   657.8    1683    5.64    1.68  652.18    1.08    94.3    53.3    64.3    68.6    75.2    78.9    80.8    82.4    60.0   1388.     57.     43.     36.     34.     33.     31.     28.     32.     2.2     0.5     0.6     0.6     0.7     0.7     0.7     0.7     0.6    93.6    52.9    63.8    68.0    74.5    78.2    80.1    81.7    59.4     0.3     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
 2015 120    18    0.00    0.05    0.00     102    5.89    23.3   0.057   0.023   5.836   0.016     0.2     7.5     0.0    5773   376.1    2995    3.62    3.00  372.51    1.15    64.5    22.9    34.3    38.2    42.9    45.5    46.8    47.7    33.3   2562.     81.     64.     53.     52.     50.     48.     43.     43.     3.2     0.3     0.4     0.4     0.5     0.5     0.5     0.5     0.4    63.9    22.6    34.0    37.8    42.5    45.1    46.3    47.3    33.0     0.6     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
 2015 121    19    0.00    0.05    0.00     107    6.32    25.0   0.061   0.025   6.261   0.017     0.1     3.7     0.0    4754   428.5    1780    3.90    1.78  424.63    0.91    80.4    50.2    55.7    56.6    41.4    37.9    37.7    38.4    30.2   1495.     39.     31.     28.     38.     40.     39.     36.     34.     2.2     0.5     0.5     0.5     0.4     0.4     0.4     0.4     0.3    79.7    49.7    55.2    56.1    41.0    37.6    37.3    38.0    29.9     0.3     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
 2015 122    20    0.00    0.07    0.00     112    6.55    27.4   0.064   0.027   6.490   0.018     0.4    16.1     0.1    4788   231.3    2407    2.34    2.41  229.00    0.94    49.2    23.5    30.1    31.5    22.2    20.0    19.8    20.2    14.8   2036.     58.     48.     41.     47.     48.     47.     43.     40.     2.6     0.3     0.3     0.3     0.3     0.3     0.2     0.2     0.2    48.7    23.3    29.8    31.2    21.9    19.8    19.6    20.0    14.6     0.5     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0
 2015 123    21    0.00    0.10    0.00     117    6.65    30.2   0.065   0.030   6.587   0.019     1.0    35.3     0.2    4747    97.9    2762    1.08    2.76   96.86    1.02    22.2     7.0    13.4    15.7     9.9     8.5     8.2     8.4     4.7   2335.     69.     59.     50.     53.     53.     52.     48.     43.     2.6     0.1     0.2     0.2     0.2     0.1     0.1     0.1     0.1    22.0     6.9    13.2    15.5     9.8     8.4     8.1     8.3     4.6     0.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 124    22    0.00    0.15    0.00     121    6.66    35.6   0.065   0.036   6.599   0.021     1.7    52.3     0.4    4689    12.3    5416    0.14    5.42   12.11    1.97     0.0     0.0     3.1     5.4     1.9     0.8     0.5     0.5     0.0   4761.    202.     64.     55.     56.     56.     55.     51.    116.     4.8     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     3.1     5.4     1.8     0.8     0.5     0.5     0.0     1.8     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 125    23    0.00    0.15    0.00     126    6.67    37.1   0.065   0.037   6.608   0.022     0.0     1.4     0.0    4478     8.7    1479    0.10    1.48    8.63    0.34     0.0     0.0     4.9     3.4     0.4     0.0     0.0     0.0     0.0    764.     45.     58.     53.     54.    139.    136.    127.    103.     0.8     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     4.8     3.4     0.4     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 126    24    0.00    0.16    0.00     131    6.71    39.1   0.065   0.039   6.644   0.022     0.1     3.8     0.0    5249    37.2    1984    0.39    1.98   36.80    0.48     0.0     0.0    26.1     9.5     1.5     0.0     0.0     0.0     0.0   1198.     38.     56.     61.     66.    156.    152.    141.    115.     1.2     0.0     0.3     0.2     0.1     0.2     0.2     0.1     0.1     0.0     0.0    25.8     9.4     1.5     0.0     0.0     0.0     0.0     0.2     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0
 2015 127    25    0.00    0.16    0.00     136    6.91    40.5   0.067   0.040   6.846   0.023     0.1     2.2     0.0    4997   203.4    1403    1.72    1.40  201.66    0.50     0.0     0.0    66.5    65.3    71.6     0.0     0.0     0.0     0.0    973.     35.     31.     27.     26.     34.     48.    125.    103.     1.0     0.0     0.6     0.6     0.6     0.0     0.0     0.1     0.1     0.0     0.0    66.0    64.7    71.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0
 2015 128    26    0.01    0.17    0.00     141    7.09    42.2   0.069   0.042   7.019   0.023     0.4     9.8     0.1    5131   174.3    1717    1.53    1.72  172.79    0.55     0.0     0.0    51.8    58.1    64.5     0.0     0.0     0.0     0.0   1360.     42.     40.     31.     30.     33.     44.     44.     95.     1.4     0.0     0.5     0.5     0.6     0.0     0.0     0.0     0.1     0.0     0.0    51.3    57.6    63.9     0.0     0.0     0.0     0.0     0.2     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0
 2015 129    27    0.01    0.20    0.00     146    7.27    44.4   0.071   0.044   7.195   0.024     1.0    26.4     0.2    5210   177.4    2143    1.82    2.14  175.57    0.87    48.9    28.3    27.8    33.7    38.7     0.0     0.0     0.0     0.0   1647.     59.     55.     45.     44.     42.     49.    114.     88.     2.2     0.3     0.3     0.4     0.4     0.0     0.0     0.1     0.1    48.4    28.0    27.5    33.4    38.3     0.0     0.0     0.0     0.0     0.5     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0
 2015 130    28    0.01    0.24    0.00     152    7.34    46.6   0.071   0.047   7.268   0.025     1.7    45.0     0.4    5254    74.1    2277    0.81    2.28   73.34    0.90    13.3     8.0    11.8    18.3    22.6     0.0     0.0     0.0     0.0   1748.     67.     65.     55.     54.     48.     52.    106.     83.     1.9     0.2     0.2     0.2     0.3     0.0     0.1     0.1     0.1    13.2     7.9    11.7    18.1    22.4     0.0     0.0     0.0     0.0     0.6     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0
 2015 131    29    0.01    0.29    0.00     157    7.37    50.6   0.072   0.051   7.294   0.026     2.1    51.8     0.5    5280    26.0    4012    0.28    4.01   25.77    1.48     0.0     0.0     0.5     7.0    11.2     7.4     0.0     0.0     0.0   3261.    193.     70.     61.     60.     53.    137.     98.     79.     3.3     0.2     0.1     0.1     0.2     0.1     0.1     0.1     0.1     0.0     0.0     0.5     6.9    11.0     7.3     0.0     0.0     0.0     1.2     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 132    30    0.01    0.29    0.00     162    7.57    51.5   0.073   0.051   7.494   0.027     0.0     1.1     0.0    4854   202.2     834    1.78    0.83  200.40    0.43     0.0     0.0    71.0    65.4    46.7    19.1     0.0     0.0     0.0    475.     24.     26.     25.     37.     45.     44.     86.     71.     0.5     0.0     0.6     0.6     0.5     0.2     0.0     0.1     0.1     0.0     0.0    70.4    64.8    46.3    18.9     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.0     0.0     0.0
 2015 133    31    0.01    0.30    0.00     167    7.69    52.6   0.075   0.053   7.613   0.027     0.3     8.4     0.1    4877   119.7    1080    1.15    1.08  118.52    0.41     0.0     0.0    41.3    39.3    28.3    10.8     0.0     0.0     0.0    698.     35.     38.     36.     44.     46.     43.     76.     64.     0.7     0.0     0.4     0.4     0.3     0.2     0.0     0.1     0.1     0.0     0.0    40.9    38.9    28.0    10.7     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0
 2015 134    32    0.01    0.32    0.00     171    7.80    53.7   0.076   0.054   7.720   0.028     0.8    19.1     0.2    4693   108.4    1126    1.06    1.13  107.38    0.44     0.0     0.0    30.4    34.1    28.7    15.3     0.0     0.0     0.0    762.     36.     41.     36.     41.     42.     40.     69.     59.     0.8     0.0     0.3     0.4     0.3     0.2     0.0     0.1     0.1     0.0     0.0    30.1    33.7    28.4    15.1     0.0     0.0     0.0     0.2     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0
 2015 135    33    0.01    0.32    0.00     176    7.95    54.4   0.077   0.054   7.877   0.028     0.1     2.1     0.0    4548   158.7     676    1.45    0.68  157.25    0.36     0.0     0.0    61.8    44.7    32.5    19.6     0.0     0.0     0.0    397.     24.     26.     30.     39.     40.     39.     25.     57.     0.4     0.0     0.6     0.4     0.3     0.2     0.0     0.0     0.1     0.0     0.0    61.3    44.3    32.2    19.4     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.0     0.0     0.0
 2015 136    34    0.01    0.33    0.00     180    8.43    54.9   0.081   0.055   8.352   0.029     0.1     2.8     0.0    4316   479.4     561    4.13    0.56  475.22    0.70    95.0    70.8    63.5    57.8    61.8    68.2    62.2     0.0     0.0    386.     24.     25.     23.     22.     19.     20.     22.     21.     1.2     0.6     0.6     0.5     0.5     0.6     0.6     0.0     0.0    94.1    70.2    63.0    57.3    61.3    67.6    61.7     0.0     0.0     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0
 2015 137    35    0.01    0.34    0.00     185    8.73    55.8   0.084   0.056   8.642   0.029     0.5    13.9     0.1    4662   292.5     843    2.80    0.84  289.75    0.64    55.6    37.2    37.9    36.5    40.2    44.6    40.6     0.0     0.0    559.     35.     38.     35.     35.     30.     28.     25.     58.     1.1     0.4     0.4     0.4     0.4     0.4     0.4     0.0     0.1    55.0    36.8    37.5    36.1    39.8    44.2    40.2     0.0     0.0     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0
 2015 138    36    0.01    0.38    0.00     190    8.87    56.8   0.086   0.057   8.789   0.030     1.4    35.8     0.3    4835   148.4    1022    1.54    1.02  146.84    0.59    21.8    10.9    17.4    20.0    24.5    28.3    25.4     0.0     0.0    674.     44.     49.     46.     46.     39.     36.     29.     59.     0.9     0.2     0.2     0.2     0.3     0.3     0.3     0.0     0.1    21.5    10.8    17.2    19.8    24.3    28.0    25.1     0.0     0.0     0.2     0.0     0.1     0.0     0.1     0.1     0.1     0.0     0.0
 2015 139    37    0.02    0.43    0.00     195    8.94    58.6   0.086   0.059   8.850   0.031     2.2    57.5     0.5    4958    61.3    1810    0.65    1.81   60.69    0.76     0.0     0.0     4.2     9.2    13.9    17.2    15.0     1.9     0.0   1337.    132.     55.     53.     54.     47.     42.     31.     59.     1.3     0.1     0.1     0.2     0.2     0.2     0.2     0.1     0.1     0.0     0.0     4.1     9.1    13.8    17.0    14.8     1.9     0.0     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 140    38    0.02    0.44    0.00     200    8.98    60.3   0.087   0.060   8.898   0.031     0.1     2.4     0.0    4962    48.4    1694    0.52    1.69   47.91    0.42     0.0     0.0     3.0     5.0     9.7    13.8    13.2     3.6     0.0   1310.     34.     57.     54.     56.     49.     44.     32.     58.     1.3     0.0     0.1     0.1     0.2     0.2     0.2     0.1     0.1     0.0     0.0     3.0     5.0     9.6    13.7    13.0     3.6     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 141    39    0.02    0.45    0.00     205    9.02    62.5   0.087   0.062   8.936   0.032     0.4    11.0     0.1    5071    38.4    2202    0.42    2.20   38.01    0.53     0.0     0.0     4.8     3.2     6.1    10.1    10.5     3.8     0.0   1810.     35.     57.     53.     58.     52.     46.     33.     58.     1.8     0.0     0.1     0.1     0.1     0.2     0.2     0.1     0.1     0.0     0.0     4.7     3.1     6.1     9.9    10.4     3.8     0.0     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 142    40    0.02    0.48    0.00     210    9.03    65.3   0.087   0.065   8.946   0.032     1.5    34.3     0.3    5176    10.3    2825    0.11    2.83   10.17    0.79     0.0     0.0     0.0     0.0     1.2     4.2     4.3     0.6     0.0   2232.     48.    141.    142.     62.     56.     50.     36.     58.     2.2     0.0     0.1     0.1     0.1     0.1     0.1     0.0     0.1     0.0     0.0     0.0     0.0     1.2     4.1     4.2     0.6     0.0     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 143    41    0.02    0.48    0.00     215    9.06    66.7   0.087   0.067   8.971   0.033     0.1     3.2     0.0    5028    25.7    1363    0.27    1.36   25.43    0.30     0.0     0.0     0.0     0.0    15.7     6.4     3.2     0.5     0.0   1040.     25.     24.     24.     52.     55.     50.     37.     57.     1.0     0.0     0.0     0.0     0.2     0.1     0.1     0.0     0.1     0.0     0.0     0.0     0.0    15.5     6.3     3.1     0.4     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 144    42    0.02    0.50    0.00     220    9.16    68.5   0.089   0.068   9.072   0.033     0.7    16.4     0.2    5153   101.4    1813    1.05    1.81  100.35    0.58    59.8    30.7     0.0     0.0     8.2     2.1     0.7     0.0     0.0   1388.     37.     39.     35.     55.     56.     51.     97.     55.     2.0     0.3     0.0     0.0     0.1     0.1     0.1     0.1     0.1    59.2    30.4     0.0     0.0     8.1     2.1     0.6     0.0     0.0     0.4     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 145    43    0.02    0.54    0.00     225    9.19    70.6   0.089   0.071   9.105   0.034     1.7    39.5     0.4    5165    34.1    2123    0.40    2.12   33.68    0.69    22.9     8.5     0.0     0.0     2.7     0.0     0.0     0.0     0.0   1497.     46.     52.     43.     58.    148.    133.     91.     55.     1.8     0.1     0.1     0.0     0.1     0.1     0.1     0.1     0.1    22.6     8.4     0.0     0.0     2.6     0.0     0.0     0.0     0.0     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 146    44    0.02    0.60    0.01     230    9.19    74.3   0.089   0.074   9.105   0.035     2.6    59.8     0.6    5258     0.0    3656    0.00    3.66    0.00    1.28     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0   2837.    147.     63.     51.    155.    137.    124.     87.     55.     2.8     0.1     0.1     0.1     0.2     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 147    45    0.02    0.60    0.01     236    9.31    75.1   0.090   0.075   9.216   0.036     0.1     2.9     0.0    5180   111.4     825    0.97    0.83  110.39    0.29     0.0     0.0    54.3    57.0     0.0     0.0     0.0     0.0     0.0    505.     25.     31.     25.     24.     34.     42.     83.     56.     0.5     0.0     0.5     0.5     0.0     0.0     0.0     0.1     0.1     0.0     0.0    53.9    56.5     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0
 2015 148    46    0.02    0.62    0.01     241    9.37    76.2   0.091   0.076   9.277   0.036     0.7    16.4     0.2    5439    62.4    1093    0.61    1.09   61.81    0.33     0.0     0.0    29.2    33.3     0.0     0.0     0.0     0.0     0.0    707.     40.     47.     39.     37.     42.     46.     80.     56.     0.7     0.0     0.3     0.4     0.0     0.0     0.0     0.1     0.1     0.0     0.0    28.9    32.9     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0
 2015 149    47    0.03    0.66    0.01     247    9.40    77.4   0.091   0.077   9.307   0.036     1.6    37.0     0.4    5424    30.0    1218    0.32    1.22   29.66    0.39     0.0     0.0    12.6    17.4     0.0     0.0     0.0     0.0     0.0    720.     50.     57.     47.     45.     46.    120.     75.     55.     0.7     0.1     0.2     0.2     0.0     0.0     0.1     0.1     0.1     0.0     0.0    12.4    17.2     0.0     0.0     0.0     0.0     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
