*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:01:02
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 2015 161    59   364    98     27    133    134    14   235    90    0.04   0.0   0.0   0.00   0.407   0.403   0.406   0.423   0.408   0.399   0.397   0.397   0.397
 2015 162    60   357    92     27    136    134    14   235    90    0.04   0.0   0.0   0.00   0.389   0.392   0.392   0.412   0.403   0.397   0.396   0.396   0.396
 2015 163    61   376   111     27    136    134    15   257    90    0.04   0.0   0.0   0.00   0.429   0.419   0.424   0.438   0.439   0.420   0.402   0.397   0.395
 2015 164    62   366   101     27    143    134    15   257    90    0.03   0.0   0.0   0.00   0.405   0.403   0.405   0.422   0.424   0.411   0.399   0.396   0.396
 2015 165    63   359    94     27    146    134    15   257    90    0.03   0.0   0.0   0.00   0.389   0.392   0.392   0.411   0.414   0.405   0.397   0.396   0.396
 2015 166    64   354    89     27    148    134    15   257    90    0.05   0.0   0.0   0.00   0.377   0.386   0.383   0.403   0.406   0.400   0.395   0.395   0.395
 2015 167    65   362    97     27    148    134    16   268    90    0.06   0.0   0.0   0.00   0.431   0.416   0.388   0.402   0.403   0.400   0.395   0.393   0.393
 2015 168    66   358    92     27    150    134    16   268    90    0.06   0.0   0.0   0.00   0.410   0.403   0.382   0.398   0.399   0.397   0.396   0.396   0.396
 2015 169    67   354    88     27    150    134    16   268    90    0.06   0.0   0.0   0.00   0.394   0.394   0.379   0.395   0.396   0.395   0.395   0.395   0.395
 2015 170    68   351    86     27    150    134    16   268    90    0.05   0.0   0.0   0.00   0.384   0.388   0.377   0.395   0.395   0.394   0.393   0.393   0.393
 2015 171    69   349    83     27    150    134    16   268    90    0.04   0.0   0.0   0.00   0.378   0.385   0.376   0.392   0.393   0.392   0.390   0.390   0.390
 2015 172    70   356    90     27    150    134    17   278    90    0.04   0.0   0.0   0.00   0.434   0.410   0.382   0.392   0.390   0.389   0.387   0.387   0.387

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:01:02
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 2015 125     0   353    88      0      0      0     0     0     0    0.00   0.0   0.0   0.00   0.377   0.387   0.380   0.398   0.398   0.398   0.398   0.398   0.398
 2015 126     1   383   118     11      0     23     1    20    45    0.00   0.0   0.0  10.90   0.457   0.422   0.427   0.439   0.439   0.439   0.412   0.401   0.398
 2015 127     2   379   114     11      0     24     1    20    90    0.00   0.0   0.0   0.00   0.422   0.417   0.423   0.437   0.436   0.436   0.418   0.404   0.399
 2015 128     3   368   103     11      8     24     1    20    90    0.00   0.0   0.0   0.00   0.405   0.405   0.406   0.422   0.421   0.421   0.408   0.399   0.395
 2015 129     4   361    95     11     12     24     1    20    90    0.00   0.0   0.0   0.00   0.393   0.396   0.395   0.411   0.411   0.411   0.402   0.396   0.395
 2015 130     5   378   112     11     12     24     2    40    90    0.00   0.0   0.0   0.00   0.434   0.421   0.425   0.438   0.438   0.426   0.407   0.397   0.391
 2015 131     6   393   127     24     17     58     2    40    83    0.00   0.0   0.0  12.71   0.434   0.422   0.428   0.440   0.441   0.441   0.441   0.441   0.441
 2015 132     7   379   113     24     29     58     2    40    86    0.00   0.0   0.0   0.00   0.414   0.409   0.411   0.425   0.425   0.425   0.425   0.426   0.426
 2015 133     8   375   109     24     30     58     2    40    86    0.00   0.0   0.0   0.00   0.402   0.407   0.406   0.423   0.422   0.422   0.422   0.422   0.423
 2015 134     9   365   100     24     37     58     2    40    88    0.00   0.0   0.0   0.00   0.391   0.397   0.394   0.412   0.411   0.411   0.412   0.412   0.412
 2015 135    10   382   116     24     37     58     3    60    88    0.00   0.0   0.0   0.00   0.434   0.421   0.426   0.438   0.438   0.427   0.414   0.410   0.409
 2015 136    11   371   105     24     46     58     3    60    89    0.00   0.0   0.0   0.00   0.414   0.408   0.409   0.423   0.423   0.415   0.406   0.404   0.403
 2015 137    12   362    96     24     51     58     3    60    90    0.00   0.0   0.0   0.00   0.398   0.397   0.396   0.412   0.412   0.407   0.400   0.399   0.398
 2015 138    13   356    91     24     54     58     3    60    90    0.00   0.0   0.0   0.00   0.387   0.390   0.388   0.404   0.404   0.401   0.397   0.395   0.395
 2015 139    14   363    97     24     54     59     4    69    90    0.00   0.0   0.0   0.00   0.433   0.420   0.393   0.404   0.402   0.399   0.395   0.392   0.391
 2015 140    15   360    95     24     54     60     4    69    90    0.00   0.0   0.0   0.00   0.418   0.417   0.395   0.404   0.400   0.398   0.392   0.389   0.388
 2015 141    16   356    91     24     54     60     4    69    90    0.00   0.0   0.0   0.00   0.400   0.403   0.387   0.399   0.397   0.395   0.395   0.395   0.395
 2015 142    17   373   108     24     54     60     5    89    90    0.00   0.0   0.0   0.00   0.432   0.420   0.425   0.438   0.433   0.404   0.395   0.391   0.391
 2015 143    18   365   100     24     59     60     5    89    90    0.00   0.0   0.0   0.00   0.411   0.406   0.408   0.422   0.419   0.399   0.395   0.395   0.395
 2015 144    19   358    93     24     62     60     5    89    90    0.00   0.0   0.0   0.00   0.395   0.395   0.394   0.411   0.409   0.396   0.395   0.395   0.395
 2015 145    20   354    88     24     62     60     5    89    90    0.00   0.0   0.0   0.00   0.382   0.387   0.385   0.403   0.402   0.395   0.395   0.395   0.395
 2015 146    21   350    85     24     62     60     5    89    90    0.00   0.0   0.0   0.00   0.375   0.382   0.379   0.398   0.398   0.395   0.394   0.391   0.391
 2015 147    22   361    95     24     62     60     6   103    90    0.00   0.0   0.0   0.00   0.432   0.419   0.400   0.402   0.397   0.391   0.391   0.388   0.388
 2015 148    23   357    92     24     62     60     6   103    90    0.00   0.0   0.0   0.00   0.410   0.404   0.389   0.397   0.395   0.395   0.395   0.395   0.393
 2015 149    24   363    97     24     62     60     7   112    90    0.00   0.0   0.0   0.00   0.431   0.419   0.412   0.405   0.396   0.392   0.392   0.392   0.390
 2015 150    25   358    92     24     63     60     7   112    90    0.00   0.0   0.0   0.00   0.408   0.403   0.397   0.399   0.395   0.395   0.395   0.395   0.395
 2015 151    26   354    88     24     63     60     7   112    90    0.00   0.0   0.0   0.00   0.390   0.392   0.386   0.395   0.395   0.395   0.395   0.395   0.395
 2015 152    27   358    93     24     63     60     8   120    90    0.00   0.0   0.0   0.00   0.430   0.408   0.388   0.397   0.391   0.392   0.392   0.392   0.392
 2015 153    28   354    89     24     63     60     8   120    90    0.00   0.0   0.0   0.00   0.406   0.395   0.381   0.395   0.395   0.395   0.395   0.393   0.389
 2015 154    29   351    85     24     63     60     8   120    90    0.00   0.0   0.0   0.00   0.388   0.387   0.377   0.395   0.395   0.395   0.394   0.390   0.386
 2015 155    30   347    82     24     63     60     8   120    90    0.00   0.0   0.0   0.00   0.375   0.382   0.376   0.392   0.392   0.393   0.391   0.387   0.383
 2015 156    31   357    91     24     63     60     9   133    90    0.00   0.0   0.0   0.00   0.430   0.419   0.390   0.395   0.389   0.390   0.388   0.385   0.381
 2015 157    32   353    87     24     63     60     9   133    90    0.00   0.0   0.0   0.00   0.405   0.401   0.382   0.395   0.395   0.395   0.394   0.382   0.378
 2015 158    33   349    84     24     63     60     9   133    90    0.00   0.0   0.0   0.00   0.386   0.390   0.378   0.395   0.395   0.396   0.396   0.380   0.376
 2015 159    34   346    80     24     63     60     9   133    90    0.00   0.0   0.0   0.00   0.373   0.383   0.375   0.394   0.393   0.393   0.393   0.378   0.374
 2015 160    35   360    95     24     63     60    10   151    90    0.01   0.0   0.0   0.00   0.429   0.417   0.423   0.406   0.395   0.391   0.391   0.376   0.372
 2015 161    36   358    92     24     63     60    10   151    90    0.01   0.0   0.0   0.00   0.407   0.403   0.406   0.402   0.396   0.397   0.397   0.397   0.372
 2015 162    37   354    89     24     63     60    10   151    90    0.01   0.0   0.0   0.00   0.389   0.391   0.392   0.398   0.396   0.396   0.396   0.396   0.387
 2015 163    38   367   101     24     63     60    11   167    90    0.01   0.0   0.0   0.00   0.428   0.419   0.423   0.424   0.403   0.397   0.394   0.394   0.386
 2015 164    39   361    95     24     66     60    11   167    90    0.02   0.0   0.0   0.00   0.404   0.402   0.405   0.413   0.400   0.396   0.396   0.396   0.396
 2015 165    40   356    90     24     68     60    11   167    90    0.02   0.0   0.0   0.00   0.387   0.391   0.391   0.405   0.398   0.396   0.396   0.396   0.396
 2015 166    41   352    86     24     68     60    11   167    90    0.03   0.0   0.0   0.00   0.374   0.384   0.381   0.400   0.396   0.396   0.396   0.396   0.396
 2015 167    42   375   109     24     68     60    12   193    90    0.03   0.0   0.0   0.00   0.430   0.418   0.423   0.438   0.439   0.410   0.399   0.396   0.395
 2015 168    43   366   101     24     74     60    12   193    90    0.03   0.0   0.0   0.00   0.407   0.403   0.406   0.423   0.425   0.405   0.398   0.397   0.397
 2015 169    44   359    94     24     78     60    12   193    90    0.03   0.0   0.0   0.00   0.390   0.392   0.393   0.412   0.415   0.401   0.396   0.396   0.396
 2015 170    45   376   111     24     78     60    13   213    90    0.03   0.0   0.0   0.00   0.428   0.419   0.424   0.438   0.439   0.419   0.402   0.397   0.395
 2015 171    46   367   101     24     84     60    13   213    90    0.03   0.0   0.0   0.00   0.406   0.403   0.406   0.423   0.425   0.411   0.400   0.397   0.397
 2015 172    47   360    94     24     88     60    13   213    90    0.03   0.0   0.0   0.00   0.389   0.393   0.393   0.412   0.415   0.406   0.398   0.396   0.396
 2015 173    48   355    90     24     90     60    13   213    90    0.03   0.0   0.0   0.00   0.377   0.386   0.384   0.405   0.408   0.402   0.397   0.397   0.397
 2015 174    49   375   109     24     90     60    14   236    90    0.03   0.0   0.0   0.00   0.429   0.418   0.423   0.438   0.437   0.412   0.400   0.396   0.395
 2015 175    50   366   101     24     96     60    14   236    90    0.03   0.0   0.0   0.00   0.407   0.403   0.406   0.423   0.424   0.406   0.399   0.397   0.397
 2015 176    51   359    94     24    100     60    14   236    90    0.03   0.0   0.0   0.00   0.389   0.392   0.392   0.412   0.414   0.402   0.397   0.396   0.396
 2015 177    52   369   104     24    100     60    15   249    90    0.03   0.0   0.0   0.00   0.429   0.420   0.418   0.418   0.414   0.405   0.399   0.395   0.395
 2015 178    53   362    96     24    104     60    15   249    90    0.03   0.0   0.0   0.00   0.406   0.403   0.402   0.409   0.407   0.401   0.397   0.396   0.396
 2015 179    54   357    91     24    106     60    15   249    90    0.03   0.0   0.0   0.00   0.389   0.393   0.390   0.403   0.402   0.399   0.396   0.396   0.396
 2015 180    55   352    87     24    107     60    15   249    90    0.03   0.0   0.0   0.00   0.376   0.385   0.381   0.398   0.399   0.397   0.396   0.396   0.396
 2015 181    56   374   109     24    107     60    16   274    90    0.03   0.0   0.0   0.00   0.429   0.418   0.423   0.438   0.437   0.408   0.398   0.395   0.394
 2015 182    57   365   100     24    113     60    16   274    90    0.03   0.0   0.0   0.00   0.406   0.402   0.405   0.423   0.423   0.403   0.397   0.396   0.396
 2015 183    58   359    93     24    116     60    16   274    90    0.03   0.0   0.0   0.00   0.389   0.392   0.392   0.412   0.413   0.400   0.396   0.396   0.396
 2015 184    59   367   102     24    116     60    17   286    90    0.03   0.0   0.0   0.00   0.428   0.419   0.410   0.415   0.412   0.403   0.397   0.395   0.395
 2015 185    60   360    95     24    120     60    17   286    90    0.03   0.0   0.0   0.00   0.404   0.402   0.395   0.407   0.406   0.399   0.396   0.396   0.396
 2015 186    61   356    90     24    121     60    17   286    90    0.03   0.0   0.0   0.00   0.388   0.392   0.386   0.402   0.402   0.398   0.396   0.396   0.396
 2015 187    62   353    88     24    122     60    17   286    90    0.03   0.0   0.0   0.00   0.378   0.387   0.381   0.398   0.399   0.397   0.397   0.397   0.397
 2015 188    63   352    86     24    122     60    17   286    90    0.03   0.0   0.0   0.00   0.375   0.385   0.379   0.397   0.398   0.396   0.396   0.396   0.396
 2015 189    64   353    88     24    122     61    17   286    90    0.17   0.0   0.0   0.00   0.387   0.388   0.379   0.397   0.398   0.396   0.396   0.396   0.396
 2015 190    65   351    85     24    122     61    17   286    90    0.15   0.0   0.0   0.00   0.376   0.384   0.377   0.396   0.396   0.395   0.394   0.394   0.394
 2015 191    66   360    95     24    122     61    18   299    90    0.14   0.0   0.0   0.00   0.428   0.417   0.392   0.398   0.395   0.393   0.392   0.392   0.392
 2015 192    67   356    91     24    122     61    18   299    90    0.12   0.0   0.0   0.00   0.404   0.401   0.384   0.395   0.396   0.396   0.396   0.396   0.396
 2015 193    68   353    88     24    122     61    18   299    90    0.13   0.0   0.0   0.00   0.388   0.391   0.379   0.395   0.395   0.396   0.396   0.396   0.395
 2015 194    69   372   107     24    122     61    19   322    90    0.12   0.0   0.0   0.00   0.429   0.418   0.424   0.438   0.429   0.403   0.396   0.393   0.392
 2015 195    70   364    98     24    127     61    19   322    90    0.11   0.0   0.0   0.00   0.407   0.403   0.406   0.422   0.416   0.399   0.395   0.395   0.395
 2015 196    71   358    92     24    129     61    19   322    90    0.10   0.0   0.0   0.00   0.392   0.394   0.394   0.411   0.407   0.396   0.395   0.395   0.395
 2015 197    72   354    89     24    130     61    19   322    90    0.09   0.0   0.0   0.00   0.383   0.388   0.386   0.403   0.401   0.395   0.395   0.395   0.395
 2015 198    73   370   104     24    130     61    20   341    90    0.08   0.0   0.0   0.00   0.433   0.420   0.425   0.437   0.410   0.397   0.393   0.392   0.392
 2015 199    74   363    98     24    134     61    20   341    90    0.06   0.0   0.0   0.00   0.412   0.406   0.408   0.422   0.403   0.395   0.395   0.395   0.395

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:01:02
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 2015 147     0   353    88      0      0      0     0     0     0    0.00   0.0   0.0   0.00   0.377   0.387   0.380   0.398   0.398   0.398   0.398   0.398   0.398
 2015 148     1   370   105      0      0      0     1    20    45    0.00   0.0   0.0   0.00   0.434   0.421   0.425   0.432   0.406   0.398   0.396   0.395   0.395
 2015 149     2   362    97      0      4      0     1    20    90    0.00   0.0   0.0   0.00   0.413   0.407   0.408   0.418   0.400   0.395   0.395   0.395   0.395
 2015 150     3   358    92      0      6      0     1    20    90    0.00   0.0   0.0   0.00   0.399   0.398   0.396   0.408   0.397   0.395   0.395   0.395   0.395
 2015 151     4   354    89      0      7      0     1    20    90    0.00   0.0   0.0   0.00   0.389   0.391   0.388   0.402   0.395   0.395   0.395   0.395   0.395
 2015 152     5   351    86      0      7      0     1    20    90    0.00   0.0   0.0   0.00   0.382   0.386   0.382   0.397   0.395   0.395   0.393   0.391   0.391
 2015 153     6   348    83      0      7      0     1    20    90    0.00   0.0   0.0   0.00   0.377   0.383   0.379   0.395   0.392   0.391   0.390   0.388   0.388
 2015 154     7   347    82      0      7      0     1    20    90    0.00   0.0   0.0   0.00   0.369   0.382   0.378   0.394   0.391   0.391   0.389   0.388   0.388
 2015 155     8   364    99      0      7      0     2    40    90    0.00   0.0   0.0   0.00   0.434   0.420   0.425   0.419   0.398   0.389   0.386   0.385   0.385
 2015 156     9   361    95      0      7      0     2    40    90    0.00   0.0   0.0   0.00   0.412   0.406   0.408   0.409   0.395   0.395   0.395   0.395   0.394
 2015 157    10   357    91      0      8      0     2    40    90    0.00   0.0   0.0   0.00   0.397   0.396   0.396   0.403   0.395   0.395   0.395   0.395   0.395
 2015 158    11   353    88      0      8      0     2    40    90    0.00   0.0   0.0   0.00   0.387   0.390   0.387   0.398   0.395   0.395   0.395   0.395   0.393
 2015 159    12   350    85      0      8      0     2    40    90    0.00   0.0   0.0   0.00   0.379   0.386   0.381   0.395   0.395   0.393   0.391   0.391   0.389
 2015 160    13   367   101      0      8      0     3    60    90    0.00   0.0   0.0   0.00   0.433   0.420   0.425   0.431   0.403   0.393   0.388   0.388   0.386
 2015 161    14   362    97      0      9      0     3    60    90    0.00   0.0   0.0   0.00   0.412   0.406   0.408   0.418   0.399   0.395   0.395   0.395   0.395
 2015 162    15   357    92      0     11      0     3    60    90    0.00   0.0   0.0   0.00   0.397   0.396   0.395   0.408   0.395   0.395   0.395   0.395   0.395
 2015 163    16   354    88      0     11      0     3    60    90    0.00   0.0   0.0   0.00   0.386   0.389   0.387   0.402   0.395   0.395   0.395   0.395   0.395
 2015 164    17   350    85      0     11      0     3    60    90    0.00   0.0   0.0   0.00   0.377   0.385   0.380   0.397   0.395   0.394   0.391   0.391   0.391
 2015 165    18   367   101      0     11      0     4    80    90    0.00   0.0   0.0   0.00   0.432   0.419   0.425   0.430   0.403   0.394   0.388   0.388   0.388
 2015 166    19   361    96      0     13      0     4    80    90    0.00   0.0   0.0   0.00   0.410   0.404   0.406   0.416   0.398   0.395   0.395   0.395   0.395
 2015 167    20   356    91      0     14      0     4    80    90    0.00   0.0   0.0   0.00   0.395   0.395   0.394   0.407   0.395   0.395   0.395   0.395   0.395
 2015 168    21   353    88      0     14      0     4    80    90    0.00   0.0   0.0   0.00   0.385   0.389   0.386   0.401   0.395   0.395   0.395   0.395   0.393
 2015 169    22   350    85      0     14      0     4    80    90    0.00   0.0   0.0   0.00   0.377   0.384   0.380   0.397   0.395   0.394   0.392   0.392   0.390
 2015 170    23   347    81      0     14      0     4    80    90    0.00   0.0   0.0   0.00   0.371   0.380   0.376   0.393   0.392   0.391   0.389   0.389   0.387
 2015 171    24   345    80      0     14      0     4    80    90    0.00   0.0   0.0   0.00   0.362   0.377   0.374   0.393   0.391   0.391   0.389   0.389   0.387
